USN,Section,Batch,Sem
1BI17CS049,A,2018,7
1BI18CS001,A,2018,7
1BI18CS002,A,2018,7
1BI18CS003,A,2018,7
1BI18CS004,A,2018,7
1BI18CS005,A,2018,7
1BI18CS006,A,2018,7
1BI18CS008,A,2018,7
1BI18CS009,A,2018,7
1BI18CS010,A,2018,7
1BI18CS011,A,2018,7
1BI18CS012,A,2018,7
1BI18CS013,A,2018,7
1BI18CS014,A,2018,7
1BI18CS015,A,2018,7
1BI18CS016,A,2018,7
1BI18CS017,A,2018,7
1BI18CS018,A,2018,7
1BI18CS019,A,2018,7
1BI18CS020,A,2018,7
1BI18CS021,A,2018,7
1BI18CS022,A,2018,7
1BI18CS023,A,2018,7
1BI18CS024,A,2018,7
1BI18CS026,A,2018,7
1BI18CS027,A,2018,7
1BI18CS028,A,2018,7
1BI18CS029,A,2018,7
1BI18CS030,A,2018,7
1BI18CS031,A,2018,7
1BI18CS032,A,2018,7
1BI18CS033,A,2018,7
1BI18CS034,A,2018,7
1BI18CS035,A,2018,7
1BI18CS036,A,2018,7
1BI18CS037,A,2018,7
1BI18CS038,A,2018,7
1BI18CS039,A,2018,7
1BI18CS040,A,2018,7
1BI18CS041,A,2018,7
1BI18CS042,A,2018,7
1BI18CS044,A,2018,7
1BI18CS045,A,2018,7
1BI18CS046,A,2018,7
1BI18CS047,A,2018,7
1BI18CS048,A,2018,7
1BI18CS049,A,2018,7
1BI18CS050,A,2018,7
1BI18CS051,A,2018,7
1BI18CS052,A,2018,7
1BI18CS053,A,2018,7
1BI18CS054,A,2018,7
1BI18CS055,A,2018,7
1BI18CS056,A,2018,7
1BI18CS057,A,2018,7
1BI18CS058,A,2018,7
1BI18CS059,A,2018,7
1BI18CS060,A,2018,7
1BI18CS092,A,2018,7
1BI18CS128,A,2018,7
1BI18CS171,A,2018,7
1BI18CS184,A,2018,7
1BI18CS189,A,2018,7
1BI18CS190,A,2018,7
1BI18CS191,A,2018,7
1BI19CS401,A,2018,7
1BI19CS406,A,2018,7
1BI19CS413,A,2018,7
1BI19CS416,A,2018,7
1BI19CS417,A,2018,7
1BI18CS061,B,2018,7
1BI18CS062,B,2018,7
1BI18CS063,B,2018,7
1BI18CS064,B,2018,7
1BI18CS065,B,2018,7
1BI18CS066,B,2018,7
1BI18CS067,B,2018,7
1BI18CS068,B,2018,7
1BI18CS069,B,2018,7
1BI18CS070,B,2018,7
1BI18CS072,B,2018,7
1BI18CS073,B,2018,7
1BI18CS074,B,2018,7
1BI18CS075,B,2018,7
1BI18CS076,B,2018,7
1BI18CS077,B,2018,7
1BI18CS078,B,2018,7
1BI18CS079,B,2018,7
1BI18CS080,B,2018,7
1BI18CS081,B,2018,7
1BI18CS082,B,2018,7
1BI18CS083,B,2018,7
1BI18CS084,B,2018,7
1BI18CS085,B,2018,7
1BI18CS086,B,2018,7
1BI18CS087,B,2018,7
1BI18CS088,B,2018,7
1BI18CS089,B,2018,7
1BI18CS090,B,2018,7
1BI18CS091,B,2018,7
1BI18CS093,B,2018,7
1BI18CS094,B,2018,7
1BI18CS095,B,2018,7
1BI18CS096,B,2018,7
1BI18CS097,B,2018,7
1BI18CS098,B,2018,7
1BI18CS099,B,2018,7
1BI18CS100,B,2018,7
1BI18CS101,B,2018,7
1BI18CS102,B,2018,7
1BI18CS104,B,2018,7
1BI18CS105,B,2018,7
1BI18CS106,B,2018,7
1BI18CS107,B,2018,7
1BI18CS108,B,2018,7
1BI18CS109,B,2018,7
1BI18CS110,B,2018,7
1BI18CS111,B,2018,7
1BI18CS112,B,2018,7
1BI18CS113,B,2018,7
1BI18CS114,B,2018,7
1BI18CS115,B,2018,7
1BI18CS116,B,2018,7
1BI18CS117,B,2018,7
1BI18CS118,B,2018,7
1BI18CS119,B,2018,7
1BI18CS120,B,2018,7
1BI18CS121,B,2018,7
1BI18CS122,B,2018,7
1BI18CS123,B,2018,7
1BI18CS192,B,2018,7
1BI16CS075,B,2018,7
1BI18CS196,B,2018,7
1BI14CS219,B,2018,7
1BI19CS405,B,2018,7
1BI19CS400,B,2018,7
1BI19CS403,B,2018,7
1BI19CS402,B,2018,7
1BI19CS408,B,2018,7
1BI19CS418,B,2018,7
1BI18CS193,B,2018,7
1BI18CS194,B,2018,7
1BI18CS195,B,2018,7
1BI18CS025,C,2018,7
1BI18CS103,C,2018,7
1BI18CS124,C,2018,7
1BI18CS125,C,2018,7
1BI18CS126,C,2018,7
1BI18CS129,C,2018,7
1BI18CS130,C,2018,7
1BI18CS131,C,2018,7
1BI18CS132,C,2018,7
1BI18CS133,C,2018,7
1BI18CS134,C,2018,7
1BI18CS136,C,2018,7
1BI18CS137,C,2018,7
1BI18CS138,C,2018,7
1BI18CS139,C,2018,7
1BI18CS141,C,2018,7
1BI18CS142,C,2018,7
1BI18CS143,C,2018,7
1BI18CS144,C,2018,7
1BI18CS145,C,2018,7
1BI18CS146,C,2018,7
1BI18CS147,C,2018,7
1BI18CS148,C,2018,7
1BI18CS149,C,2018,7
1BI18CS150,C,2018,7
1BI18CS151,C,2018,7
1BI18CS152,C,2018,7
1BI18CS153,C,2018,7
1BI18CS154,C,2018,7
1BI18CS155,C,2018,7
1BI18CS157,C,2018,7
1BI18CS158,C,2018,7
1BI18CS159,C,2018,7
1BI18CS160,C,2018,7
1BI18CS161,C,2018,7
1BI18CS162,C,2018,7
1BI18CS163,C,2018,7
1BI18CS164,C,2018,7
1BI18CS165,C,2018,7
1BI18CS166,C,2018,7
1BI18CS167,C,2018,7
1BI18CS168,C,2018,7
1BI18CS169,C,2018,7
1BI18CS170,C,2018,7
1BI18CS172,C,2018,7
1BI18CS173,C,2018,7
1BI18CS174,C,2018,7
1BI18CS175,C,2018,7
1BI18CS176,C,2018,7
1BI18CS177,C,2018,7
1BI18CS178,C,2018,7
1BI18CS179,C,2018,7
1BI18CS180,C,2018,7
1BI18CS181,C,2018,7
1BI18CS182,C,2018,7
1BI18CS183,C,2018,7
1BI18CS185,C,2018,7
1BI18CS186,C,2018,7
1BI18CS187,C,2018,7
1BI18CS188,C,2018,7
1BI17CS054,C,2018,7
1BI17CS128,C,2018,7
1BI17CS136,C,2018,7
1BI17CS429,C,2018,7
1BI19CS411,C,2018,7
1BI19CS404,C,2018,7
1BI19CS412,C,2018,7
1BI19CS410,C,2018,7
1BI19CS415,C,2018,7
1BI18CS198,C,2018,8
1BI18CS197,C,2018,8
1BI18CS199,C,2018,8
1BI18CS200,C,2018,8
1BI18CS201,C,2018,8